HP,27,78,17,89,5,66,12,64,83,58,23,113,40,1,50,42,45,51,53,97,62,70,93,8,28,18,19,22,54,29,10,88,95,30,47,38,87,14,9,111,59,43,103,69,33,99,67,98,75,31,115,118,86,77,65,119,3,49,25,6,117,16,34,7,4,24,73,46,44,109,105,15,11,74,72,52,35,2,108,91,116,55,41,0,20,71,92,56,57,36,37,90,100,102,63,104
model.optimizer_lr,0.001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.001,0.001,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.001,0.0001,0.0001,0.001,0.0001,0.001,0.001,0.0001
data.batch_size,64,256,16,64,16,64,64,16,16,256,256,64,64,64,64,256,64,16,64,256,256,16,256,64,16,256,16,256,64,64,16,16,64,64,16,256,64,64,16,64,16,64,16,64,64,16,16,256,64,16,64,16,256,16,16,256,64,256,256,64,64,256,256,64,256,256,64,16,256,64,16,16,16,16,64,16,256,16,16,256,256,64,256,16,256,64,256,256,256,16,256,16,16,256,256,256
model.weight_decay,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0.01,0.01,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0.01
model.model_type,bidirectional,unidirectional,unidirectional,unidirectional,bidirectional,unidirectional,bidirectional,unidirectional,transformer,convM,bidirectional,transformer,unidirectional,bidirectional,bidirectional,bidirectional,transformer,transformer,unidirectional,convM,bidirectional,unidirectional,transformer,transformer,unidirectional,unidirectional,bidirectional,convM,unidirectional,bidirectional,unidirectional,transformer,transformer,convM,transformer,unidirectional,convM,bidirectional,bidirectional,transformer,convM,convM,convM,bidirectional,transformer,transformer,convM,transformer,bidirectional,unidirectional,unidirectional,unidirectional,transformer,bidirectional,unidirectional,unidirectional,unidirectional,convM,convM,convM,convM,unidirectional,unidirectional,convM,transformer,transformer,convM,convM,unidirectional,unidirectional,bidirectional,transformer,transformer,bidirectional,transformer,convM,bidirectional,transformer,bidirectional,transformer,bidirectional,convM,transformer,convM,convM,transformer,unidirectional,bidirectional,bidirectional,convM,convM,convM,bidirectional,convM,transformer,bidirectional
model.corr_regularization,True,False,True,False,False,False,False,True,False,True,False,True,True,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,True,True,False,True,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,False,True,False
corr_input,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
regression_head,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hparams_search,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml,kuramoto.yaml
data.ds_name,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto,kuramoto
